Gene_Name	UniProtKB_ID	Ensembl_Protein_ID	A0218_6A	A0218_6B	A0218_4B	A0218_4A	A0218_8B	A0218_2A	A0218_2B	A0218_1A_WHIM16	A0218_8A	Adult_Colon_bRP_Elite_50	Adult_Rectum_bRP_Elite_84	Adult_Colon_Gel_Elite_51	A0218_1B	A0218_5A	A0218_5B	A0218_7B	A0218_7A	Adult_Rectum_Gel_Elite_63	A0218_3B	A0218_3A	A0232_6	A0232_4	A0232_5	A0232_2	A0232_3	A0218_9B	A0232_1	A0218_9A	A0218_10A	A0218_10B	
MAP4K4	O95819,E7ESS2,A0A0D9SEY1,G3XAA2,A0A0D9SG62,E7ENQ1,H7C0P6,G5E948,H7C360,C9J840,E7ETN6,E7EX83,E7EN19,H7C3Z6	ENSP00000403016,ENSP00000392830,ENSP00000489579,ENSP00000389752,ENSP00000314363,ENSP00000387370,ENSP00000409720,ENSP00000396066,ENSP00000414766,ENSP00000343658,ENSP00000303600,ENSP00000281111,ENSP00000313644,ENSP00000487176,ENSP00000486116	0	1	5	4	1	1	2	0	0	1	2	0	2	1	3	0	0	1	5	1	4	9	3	3	1	2	4	3	0	1	
HMBS	P08397,F5H4W5,F5H0P4,F5H226,F5H4X2,F5H4Y7,F5GY90,F5H345	ENSP00000444849,ENSP00000278715,ENSP00000438726,ENSP00000444730,ENSP00000443058,ENSP00000445599,ENSP00000392041,ENSP00000444817,ENSP00000438424,ENSP00000439904,ENSP00000445429,ENSP00000440092,ENSP00000442079,ENSP00000376584,ENSP00000485967,ENSP00000486176,ENSP00000486071,ENSP00000486199,ENSP00000486658,ENSP00000486721,ENSP00000486979,ENSP00000486348,ENSP00000486742,ENSP00000486861,ENSP00000487285,ENSP00000486122,ENSP00000486081,ENSP00000487456	0	1	2	1	5	2	2	0	0	0	0	0	0	1	4	0	0	0	1	2	6	5	3	1	1	3	2	1	1	2	
ENSG00000141639	-	ENSP00000467343	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSP00000469071	-	-	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
CDH16	O75309,A0A0B4J288,H3BSG2,H3BSV3,I3L418,J3QLA1	ENSP00000377619,ENSP00000299752,ENSP00000455263,ENSP00000456690,ENSP00000454784,ENSP00000455523,ENSP00000456891,ENSP00000460891,ENSP00000463451,ENSP00000443923	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
C1orf210	Q8IVY1	ENSP00000430918,ENSP00000429399	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
JTB	O76095	ENSP00000271843,ENSP00000349069,ENSP00000357578,ENSP00000395250	1	2	1	0	2	2	1	0	0	1	1	2	1	0	1	0	1	0	2	1	1	2	2	1	1	2	0	0	0	0	
AL928654.7	-	ENSP00000455329,ENSP00000456357,ENSP00000454458,ENSP00000456068,ENSP00000455328	0	0	0	0	0	0	0	0	0	20	46	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	
SPATA21	Q7Z572,Q5VXG6,H7C5T0	ENSP00000420753,ENSP00000335612,ENSP00000364727,ENSP00000483493,ENSP00000440046	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSP00000471361	-	-	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PPEF2	O14830,E7EPQ9	ENSP00000426186,ENSP00000286719,ENSP00000483398,ENSP00000336804	1	0	1	0	1	0	1	0	0	0	0	1	0	1	2	0	1	0	1	0	1	0	0	0	2	1	0	0	0	1	
AC136616.2	-	ENSP00000479675,ENSP00000484138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
SCAF4	O95104	ENSP00000286835,ENSP00000382703,ENSP00000402377	3	5	5	2	2	0	4	1	2	1	3	0	2	1	2	3	2	0	1	0	2	3	3	2	1	5	0	0	0	2	
SCAF1	Q9H7N4,M0R232,M0R3G4,M0R2L3	ENSP00000353769,ENSP00000473210,ENSP00000472649,ENSP00000472276,ENSP00000416014	0	3	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	4	1	2	1	1	2	1	1	0	0	
LMBRD2	Q68DH5	ENSP00000296603,ENSP00000444863	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
LEF1	Q9UJU2,D6RIV1,D6RID7,D6RAB1	ENSP00000265165,ENSP00000406176,ENSP00000422840,ENSP00000422334,ENSP00000427459,ENSP00000422801,ENSP00000427365,ENSP00000369284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
SCAF8	Q9UPN6,A0A0A0MT33	ENSP00000356146,ENSP00000356154,ENSP00000413098	1	2	4	1	3	1	4	2	1	1	1	0	4	2	2	2	1	0	5	3	8	4	5	4	4	4	5	1	1	2	
LMBRD1	Q9NUN5	ENSP00000359609,ENSP00000359602,ENSP00000433385	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	
TMEM63A	O94886,Q2HIZ8,X6RI56	ENSP00000355800,ENSP00000409002,ENSP00000445237	0	2	2	0	3	0	2	1	0	1	1	2	4	0	1	3	1	1	1	2	6	7	2	4	4	3	2	0	0	3	
TMEM63B	Q5T3F8,H3BLW6,H0YDJ6,E9PNG1,H0YCP6	ENSP00000259746,ENSP00000437163,ENSP00000360960,ENSP00000433750,ENSP00000432085,ENSP00000327154	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	0	0	0	2	1	
NAA38	Q9BRA0,I3L4V0,I3L3Z2,A0A0B4J297,I3L310	ENSP00000460841,ENSP00000332103,ENSP00000460172,ENSP00000459449,ENSP00000461545,ENSP00000460085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
NAA35	Q5VZE5	ENSP00000354972,ENSP00000365208,ENSP00000399595	0	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	
RP11-599B13.6	-	ENSP00000464383	1	1	0	2	2	4	1	0	2	0	0	0	0	0	0	1	0	0	0	1	2	0	1	1	1	0	1	0	1	0	
NAA30	Q147X3,J3KNC2,G3V3I2	ENSP00000450939,ENSP00000452521,ENSP00000451255,ENSP00000298406,ENSP00000378676	1	1	0	0	2	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	4	2	1	0	2	0	1	1	0	0	
FITM2	Q8N6M3	ENSP00000380037	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
SI	P14410,F8WF21	ENSP00000264382,ENSP00000419450	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
ENSG00000213085	-	ENSP00000484473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	
ATAD2B	Q9ULI0,H7BYF1,C9J1G9,C9JG15	ENSP00000238789,ENSP00000370412,ENSP00000392764,ENSP00000403177,ENSP00000415926,ENSP00000439969,ENSP00000400808	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	3	1	1	0	1	0	0	1	
GREB1L	Q9C091,J3QR03,J3QQW0,J3KRT4	ENSP00000269218,ENSP00000464162,ENSP00000463926,ENSP00000463976,ENSP00000462152,ENSP00000412060,ENSP00000383331,ENSP00000393125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
B4GALNT4	Q76KP1,H0YCU7,H0YDW6	ENSP00000328277,ENSP00000434463,ENSP00000432372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	
RBM6	P78332,C9JSL1,F8WF63,E9PGM9,F8WCA5,C9J250,C9JMC8,F8WCT0,C9JII0	ENSP00000393530,ENSP00000266022,ENSP00000396466,ENSP00000396410,ENSP00000392939,ENSP00000406548,ENSP00000408665,ENSP00000399942,ENSP00000389763,ENSP00000394336,ENSP00000403865,ENSP00000392475,ENSP00000390202,ENSP00000443165	0	2	0	0	2	0	2	1	0	0	0	0	1	0	0	2	0	0	1	0	2	2	0	3	2	2	1	0	0	0	
RBM5	P52756,F8W910,C9JR02,F8WE23,C9J9P7,H7BYM9,C9JFQ5	ENSP00000343054,ENSP00000419534,ENSP00000384872,ENSP00000390711,ENSP00000414218,ENSP00000394622,ENSP00000406119,ENSP00000378603,ENSP00000445347,ENSP00000442591,ENSP00000440744,ENSP00000439808	0	1	0	0	1	0	0	0	1	1	1	0	2	0	1	2	0	0	1	0	1	0	0	1	0	2	1	0	0	1	
RBM4	Q9BWF3,D6R9K7,J3QRR5,E9PB51	ENSP00000309166,ENSP00000413497,ENSP00000386561,ENSP00000464349,ENSP00000435821,ENSP00000381680,ENSP00000422301,ENSP00000423572,ENSP00000432150,ENSP00000432020,ENSP00000386894	1	5	5	1	6	1	7	4	2	2	2	0	7	0	3	3	0	1	5	1	7	12	10	7	7	4	8	2	1	4	
RBM3	P98179,Q9H5V0	ENSP00000365950,ENSP00000365946,ENSP00000346473,ENSP00000412764	6	10	14	10	2	20	13	6	10	0	0	0	4	20	17	3	5	0	5	13	43	26	32	27	32	10	26	18	11	13	
C21orf62-AS1	Q17RA5,A0A0G2JLE3,A0A0G2JLD9	ENSP00000461835,ENSP00000460208,ENSP00000459537,ENSP00000460870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
RPL23A	P62750,A8MUS3,K7EMA7,H7BY10,K7ERT8,K7EJV9	ENSP00000389103,ENSP00000468172,ENSP00000378396,ENSP00000468402,ENSP00000347969,ENSP00000466425,ENSP00000465342,ENSP00000378393	33	48	50	47	32	37	39	16	35	18	21	22	28	34	41	40	31	14	31	35	41	59	59	66	74	29	67	20	22	26	
B4GALNT3	Q6L9W6,E9PHD9	ENSP00000266383,ENSP00000322953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
OR51D1	Q8NGF3	ENSP00000350222	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OCEL1	Q9H607,M0QZ36,M0QZ32,M0R0F7,M0QZZ7,M0QY63,M0R0L3,M0QXM2,M0R1A4	ENSP00000215061,ENSP00000471201,ENSP00000469261,ENSP00000470270,ENSP00000471311,ENSP00000470258,ENSP00000471742,ENSP00000470883,ENSP00000469624	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
CAT	P04040	ENSP00000241052	18	51	56	38	36	43	44	30	30	53	73	66	34	35	50	26	18	46	37	33	82	88	75	69	83	32	76	35	26	46	
ENSG00000101986	-	ENSP00000413695	0	2	5	1	3	1	4	0	1	0	0	0	2	2	4	2	0	0	4	0	3	4	4	4	3	5	4	0	0	0	
ACTBL2	Q562R1	ENSP00000416706	110	187	162	173	216	73	83	84	183	245	210	323	128	154	198	283	162	194	155	75	250	228	236	174	142	210	199	113	153	119	
NOC4L	Q9BVI4,F5H303	ENSP00000328854,ENSP00000438255,ENSP00000443336	0	1	3	0	1	1	4	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	1	1	0	0	0	1	
NDE1	Q9NXR1,I3L2R3,I3L533,I3L522,I3L2T8,I3L464,I3L3G9,I3L2R9,X5DR54,I3L2S8	ENSP00000379643,ENSP00000379642,ENSP00000459889,ENSP00000460436,ENSP00000460996,ENSP00000461729,ENSP00000459875,ENSP00000459863,ENSP00000461748,ENSP00000459918,ENSP00000345892,ENSP00000488050,ENSP00000488199,ENSP00000487642,ENSP00000488828,ENSP00000488895,ENSP00000488637,ENSP00000488454,ENSP00000488694,ENSP00000487817,ENSP00000487625,ENSP00000478036,ENSP00000379641	1	0	0	0	0	1	1	0	1	3	5	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	
VSTM2B	A6NLU5	ENSP00000335038	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSP00000459068	-	-	0	0	0	0	0	0	0	0	0	20	23	23	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	
ARMCX6	Q7L4S7	ENSP00000354708,ENSP00000440648,ENSP00000444537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAD	P27708,H7BZB3,H7C2E4,H7C3Z5,F8VPD4	ENSP00000264705,ENSP00000384510,ENSP00000414742,ENSP00000388740,ENSP00000405416	26	78	75	49	58	48	72	24	32	12	13	0	55	28	65	46	38	1	44	32	87	102	82	74	99	49	87	27	15	60	
PGF	P49763,G3XA84	ENSP00000451040,ENSP00000451413,ENSP00000238607,ENSP00000385365	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PGD	P52209,K7EPF6,K7ELN9,K7EM49,K7EJT3,K7EMN2	ENSP00000466358,ENSP00000465311,ENSP00000270776,ENSP00000466156,ENSP00000466574,ENSP00000467362,ENSP00000442285,ENSP00000437822,ENSP00000438783	23	68	69	35	57	44	55	24	39	26	25	39	41	46	57	54	29	35	45	34	102	104	91	106	104	52	107	30	25	67	
KAZN	Q674X7,B0QYQ6	ENSP00000365198,ENSP00000426015,ENSP00000354727,ENSP00000365196,ENSP00000383601,ENSP00000383602,ENSP00000391728	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PDE1C	Q14123,A0A0A0MS69,F8W905	ENSP00000379496,ENSP00000379494,ENSP00000318105,ENSP00000379487,ENSP00000379485,ENSP00000379492	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
PDE1B	Q01064,B4DK72,A0A087WTW8,F8VZK3	ENSP00000243052,ENSP00000478185,ENSP00000447354,ENSP00000442559,ENSP00000448519	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
PDE1A	P54750	ENSP00000410309,ENSP00000386767,ENSP00000387037,ENSP00000309269,ENSP00000350858,ENSP00000331574,ENSP00000329112,ENSP00000439938,ENSP00000408874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	
NUDC	Q9Y266,A0A0A0MSS4,A0A0A0MSU9	ENSP00000404020,ENSP00000319664,ENSP00000400981	6	18	12	8	15	11	9	5	9	35	22	17	12	4	12	5	7	18	7	8	21	11	16	15	20	11	22	6	5	10	
DYM	Q7RTS9,J3QQT7,J3QRD8,J3KRG4,J3KSU8,E9PG80,J3QSE7,J3KSF9,J3QRF2,J3QR81,J3KTF2	ENSP00000269445,ENSP00000395942,ENSP00000464163,ENSP00000462657,ENSP00000461989,ENSP00000415292,ENSP00000464653,ENSP00000464183,ENSP00000462466,ENSP00000463892,ENSP00000462954,ENSP00000464089	1	4	2	1	1	2	3	4	1	0	0	1	3	1	2	3	1	0	2	2	4	8	6	4	7	2	7	2	2	3	
PELO	Q9BRX2	ENSP00000274311	4	2	2	3	3	3	2	1	0	2	1	1	6	1	3	2	0	0	2	2	2	3	6	4	5	2	2	0	1	0	
PGR	P06401,A0A087WXR4,A0A0J9YVP1	ENSP00000325120,ENSP00000436561,ENSP00000432914,ENSP00000432352,ENSP00000436803,ENSP00000263463,ENSP00000487607,ENSP00000482698,ENSP00000481227,ENSP00000440871	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
POTEJ	P0CG39	ENSP00000387176	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
PGP	A6NDG6,H3BV17	ENSP00000330918,ENSP00000457909,ENSP00000457459	5	6	5	4	11	9	10	7	4	3	2	6	9	2	9	5	2	2	6	4	18	13	12	14	13	5	15	6	1	8	
POTEF	A5A3E0,A0A0D9SFL1,A6NC16	ENSP00000386786,ENSP00000350052,ENSP00000355012,ENSP00000486700,ENSP00000354232	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	
POTEE	Q6S8J3,A0A087X067	ENSP00000439189,ENSP00000477649,ENSP00000443049,ENSP00000483137,ENSP00000485683	0	0	0	0	0	0	0	0	0	3	4	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
MCUR1	Q96AQ8,U3KQP8	ENSP00000368468,ENSP00000476106,ENSP00000476162	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
IVNS1ABP	Q9Y6Y0,X6R674,H0Y5Y2	ENSP00000356468,ENSP00000401826,ENSP00000356467,ENSP00000375864	0	6	4	0	5	0	4	0	0	0	0	0	3	0	4	1	0	0	3	0	5	6	4	6	7	1	4	0	0	3	
POTEB	Q495V5,A0A0A6YYL3	ENSP00000457443,ENSP00000457689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
NUMBL	Q9Y6R0,A0A0C4DGH3,M0QYC2,M0QZV7,M0QXQ4,M0R0Q4	ENSP00000472400,ENSP00000442759,ENSP00000469310,ENSP00000469736,ENSP00000470794,ENSP00000471376,ENSP00000252891	0	0	0	0	1	1	0	0	0	2	2	0	0	0	3	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	
SLC9C2	Q5TAH2	ENSP00000356687,ENSP00000445437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
NDUFC2	O95298,E9PM14,E9PRJ5	ENSP00000281031,ENSP00000432739,ENSP00000432253,ENSP00000434262,ENSP00000435017,ENSP00000316370	0	2	0	0	1	2	2	0	0	8	18	11	2	0	2	0	1	9	1	1	3	2	3	1	1	2	1	0	0	1	
COA5	Q86WW8,B9A057	ENSP00000330730,ENSP00000386934	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
COA4	Q9NYJ1	ENSP00000347919,ENSP00000443795,ENSP00000440756,ENSP00000437772	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
COA7	Q96BR5	ENSP00000360593	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	2	3	0	2	0	2	0	0	1	
COA6	Q5JTJ3,X6R5Z6	ENSP00000355574,ENSP00000355572,ENSP00000355571,ENSP00000479686	3	2	3	4	6	3	3	4	3	3	6	1	5	3	4	2	2	2	3	3	9	6	6	6	4	3	6	1	1	3	
COA1	Q9GZY4,F2Z2J3,F2Z2D1,C9J6J1,C9JA07,F8WBS2	ENSP00000400759,ENSP00000416406,ENSP00000413777,ENSP00000395586,ENSP00000379218,ENSP00000312100,ENSP00000405582,ENSP00000417046,ENSP00000411540,ENSP00000410365,ENSP00000400271,ENSP00000387433,ENSP00000398886,ENSP00000223336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
BMI1	P35226,Q5T8Z2,Q5T8Z4,Q5T8Z6	ENSP00000365851,ENSP00000397912,ENSP00000399220,ENSP00000390768,ENSP00000401773,ENSP00000365881	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
COA3	Q9Y2R0,K7EPV0	ENSP00000467546,ENSP00000354762	0	2	4	2	3	2	3	1	0	4	3	5	3	1	2	1	3	4	4	0	2	2	5	2	3	2	3	1	1	1	
MRS2	Q9HD23,A0A0A0MQX2,H7BZ29	ENSP00000367604,ENSP00000367637,ENSP00000387441,ENSP00000399585,ENSP00000274747,ENSP00000441839,ENSP00000438118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
DCSTAMP	Q9H295	ENSP00000297581,ENSP00000428869,ENSP00000480546	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
SEPSECS	Q9HD40,H0Y9D2,D6R969,J3KP25	ENSP00000371535,ENSP00000351857,ENSP00000421880,ENSP00000423850,ENSP00000423361,ENSP00000305956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
ENSP00000466483	-	-	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PDE12	Q6L8Q7,F6T1Q0	ENSP00000420626,ENSP00000309142	6	9	10	6	5	9	10	5	6	6	10	3	12	3	6	4	5	0	5	4	12	14	9	8	10	9	13	1	1	3	
NRP1	O14786,E9PEP6,V9GYL7,E7EX60,Q5JWQ2,Q5JWQ6,Q5T7F0,Q5JWQ4,H0Y4A0,H0Y4N6,H0Y7Z2	ENSP00000364009,ENSP00000265371,ENSP00000390447,ENSP00000416147,ENSP00000476896,ENSP00000393071,ENSP00000363954,ENSP00000363955,ENSP00000363956,ENSP00000408911,ENSP00000390567,ENSP00000364001,ENSP00000363949,ENSP00000379317,ENSP00000363961,ENSP00000363947,ENSP00000363951	5	0	0	11	0	7	0	7	7	6	6	0	1	6	0	0	3	0	0	5	6	9	4	5	7	0	3	3	4	0	
NRP2	O60462,X5D2Q8,Q7LBX6,A0A024R3W6,A0A024R412,C9JH98	ENSP00000353582,ENSP00000404279,ENSP00000387519,ENSP00000349632,ENSP00000350432,ENSP00000272849,ENSP00000407626,ENSP00000439658,ENSP00000439261,ENSP00000347238,ENSP00000339233	0	0	0	0	0	0	0	0	0	19	14	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	
DMXL2	Q8TDJ6,H0YME1,H0YM41,H0YLM8	ENSP00000251076,ENSP00000453267,ENSP00000441858,ENSP00000400855,ENSP00000453570,ENSP00000453454,ENSP00000408723	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	
ARSE	P51690,F5H324,F5GYY5,C9J5G7	ENSP00000370526,ENSP00000406528,ENSP00000441417,ENSP00000438198	0	0	0	0	0	0	0	0	0	4	3	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
CA8	P35219	ENSP00000314407	4	0	0	5	0	4	0	4	4	0	0	1	0	4	0	0	2	0	0	4	7	4	6	3	5	0	6	4	4	0	
ARSA	P15289,A0A0C4DFZ2,V9GYR0	ENSP00000477013,ENSP00000348406,ENSP00000216124,ENSP00000378983,ENSP00000412542,ENSP00000378981,ENSP00000448440,ENSP00000448932	2	2	1	3	2	1	1	2	3	5	10	1	0	1	0	1	2	3	0	3	2	3	4	2	2	1	3	3	4	0	
ARSB	P15848,E5RHC4	ENSP00000264914,ENSP00000379455,ENSP00000456339,ENSP00000428611	3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
HEXA	P06865,H3BVH8,H3BTD4,A0A087WTY2,H3BQ04,H3BU85,H3BT62,H3BS10,H3BP20,H3BRP6	ENSP00000268097,ENSP00000455545,ENSP00000455114,ENSP00000457521,ENSP00000456489,ENSP00000456346,ENSP00000457037,ENSP00000457125,ENSP00000458128,ENSP00000478217,ENSP00000416187,ENSP00000398026	6	2	4	3	3	10	3	5	1	15	11	7	4	4	5	0	5	5	2	6	7	11	4	8	8	0	9	6	3	0	
CA2	P00918,E5RK37,E5RID5	ENSP00000285379,ENSP00000428443,ENSP00000428947	9	8	15	22	10	22	10	10	10	99	124	82	6	16	10	8	11	85	6	19	41	37	36	24	34	9	24	8	9	5	
CA1	P00915,E5RG43,E5RG81,E5RJI8,E5RFE7,E5RHP7,E5RIF9,H0YBE2,E5RH81,E5RGU8,E5RFL2,E5RJF6,E5RII2,E5RHS7	ENSP00000430656,ENSP00000429798,ENSP00000427773,ENSP00000429300,ENSP00000428923,ENSP00000430861,ENSP00000430543,ENSP00000430571,ENSP00000429843,ENSP00000430710,ENSP00000430471,ENSP00000427852,ENSP00000430737,ENSP00000430372,ENSP00000430975,ENSP00000429688,ENSP00000392338,ENSP00000443517,ENSP00000486171,ENSP00000256119,ENSP00000401551	0	0	3	0	1	0	0	0	0	180	231	131	0	0	0	0	5	185	0	0	15	4	11	0	1	0	10	0	0	0	
HEXB	P07686,Q5URX0,H0Y9M3,H0Y9B6,H0YA83,D6REQ8	ENSP00000426285,ENSP00000261416,ENSP00000423713,ENSP00000426384,ENSP00000424939,ENSP00000424550	14	5	8	16	7	20	6	13	16	31	18	25	4	18	7	4	14	14	3	14	19	22	22	24	26	4	22	17	15	5	
CEPT1	Q9Y6K0,A0A0C4DGS9	ENSP00000349696,ENSP00000441980,ENSP00000477632	1	1	0	0	2	0	1	0	0	1	0	0	2	0	0	1	1	0	0	0	2	0	4	3	2	0	3	0	1	1	
PSMA3	P25788,G3V5N4,G3V4X5,H0YJ03,G3V3W4	ENSP00000216455,ENSP00000451461,ENSP00000452437,ENSP00000390491,ENSP00000452056,ENSP00000450573	3	18	13	11	10	13	19	5	6	5	10	16	9	6	18	11	3	19	8	9	22	24	26	23	29	9	17	8	7	21	
ARMCX1	Q9P291,A0A087WTL2	ENSP00000361917,ENSP00000477961,ENSP00000443916	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	
RBMX	P38159,H3BR27,H0Y6E7,H3BT71,H3BUY5,H3BNC1	ENSP00000411989,ENSP00000457691,ENSP00000405117,ENSP00000456048,ENSP00000359645,ENSP00000457051,ENSP00000457866,ENSP00000454777,ENSP00000415250,ENSP00000454674	14	22	23	20	13	13	15	7	11	14	23	15	15	12	13	22	17	19	19	12	13	24	16	22	24	9	15	2	6	15	
FUT6	P51993,E9PJ18,E9PJB4,E9PS22,E9PP56,E9PI36	ENSP00000431708,ENSP00000432954,ENSP00000286955,ENSP00000466016,ENSP00000436547,ENSP00000432161,ENSP00000436413,ENSP00000431880,ENSP00000433811,ENSP00000313398,ENSP00000344210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	
FUT5	Q11128,K7ENC0	ENSP00000466880,ENSP00000252675	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
OGN	P20774,Q5TBF5	ENSP00000262551,ENSP00000364711,ENSP00000396709	4	0	2	8	0	8	0	5	5	110	90	185	0	9	0	0	14	146	0	7	11	8	9	4	8	1	7	4	4	0	
FUT2	Q10981,E7EW73	ENSP00000430227,ENSP00000387498,ENSP00000375748	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
